timestamp,open,high,low,close,volume
2026-02-07 04:00:00+00:00,1.4736,1.4853,1.4518,1.4615,9689115.3
2026-02-07 05:00:00+00:00,1.4615,1.47,1.4525,1.4597,5802919.0
2026-02-07 06:00:00+00:00,1.4596,1.4697,1.4338,1.4341,8996751.8
2026-02-07 07:00:00+00:00,1.4342,1.4469,1.4067,1.4133,29186515.8
2026-02-07 08:00:00+00:00,1.4133,1.429,1.403,1.4238,9546360.5
2026-02-07 09:00:00+00:00,1.4238,1.4275,1.4057,1.4134,7902439.1
2026-02-07 10:00:00+00:00,1.4134,1.4182,1.3864,1.3993,12873103.2
2026-02-07 11:00:00+00:00,1.3994,1.4031,1.3858,1.3924,10990649.7
2026-02-07 12:00:00+00:00,1.3923,1.4408,1.3908,1.4184,17720417.5
2026-02-07 13:00:00+00:00,1.4184,1.4254,1.3957,1.4041,9329112.9
2026-02-07 14:00:00+00:00,1.4041,1.4106,1.3905,1.4003,6534839.9
2026-02-07 15:00:00+00:00,1.4003,1.4205,1.3974,1.4108,7085402.7
2026-02-07 16:00:00+00:00,1.4107,1.4366,1.4052,1.419,61193360.9
2026-02-07 17:00:00+00:00,1.419,1.4304,1.4097,1.4246,4388904.1
2026-02-07 18:00:00+00:00,1.4246,1.4488,1.4241,1.4411,6217816.3
2026-02-07 19:00:00+00:00,1.4411,1.4411,1.4283,1.4309,4118462.3
2026-02-07 20:00:00+00:00,1.4309,1.4415,1.4273,1.4366,3000053.3
2026-02-07 21:00:00+00:00,1.4367,1.4388,1.4277,1.4293,2422097.4
2026-02-07 22:00:00+00:00,1.4294,1.4332,1.4205,1.4228,3986923.6
2026-02-07 23:00:00+00:00,1.4229,1.428,1.4128,1.4231,3980237.7
2026-02-08 00:00:00+00:00,1.4231,1.429,1.4148,1.4205,2890289.9
2026-02-08 01:00:00+00:00,1.4205,1.4383,1.4199,1.4324,3031009.8
2026-02-08 02:00:00+00:00,1.4325,1.4419,1.4243,1.4302,3386388.5
2026-02-08 03:00:00+00:00,1.4301,1.4333,1.4138,1.417,2398223.9
2026-02-08 04:00:00+00:00,1.417,1.4238,1.4099,1.4231,2580640.8
2026-02-08 05:00:00+00:00,1.4231,1.426,1.4161,1.4184,1286208.3
2026-02-08 06:00:00+00:00,1.4184,1.4221,1.4137,1.4162,1701610.2
2026-02-08 07:00:00+00:00,1.4163,1.4213,1.4117,1.4211,2888254.2
2026-02-08 08:00:00+00:00,1.421,1.4632,1.4195,1.4539,9990603.0
2026-02-08 09:00:00+00:00,1.454,1.4586,1.4338,1.4381,6699844.7
2026-02-08 10:00:00+00:00,1.4381,1.446,1.4255,1.4314,5450319.4
2026-02-08 11:00:00+00:00,1.4314,1.4529,1.4305,1.4528,8653614.0
2026-02-08 12:00:00+00:00,1.4529,1.4571,1.4431,1.4561,5840765.2
2026-02-08 13:00:00+00:00,1.456,1.4703,1.4498,1.4619,8981128.8
2026-02-08 14:00:00+00:00,1.4619,1.4682,1.4578,1.4618,7076941.7
2026-02-08 15:00:00+00:00,1.4617,1.4637,1.4304,1.4404,8353993.8
2026-02-08 16:00:00+00:00,1.4404,1.4463,1.4103,1.4185,11439544.1
2026-02-08 17:00:00+00:00,1.4184,1.4359,1.4177,1.4312,4585050.6
2026-02-08 18:00:00+00:00,1.4312,1.4529,1.4292,1.4391,5017893.6
2026-02-08 19:00:00+00:00,1.4392,1.4516,1.4386,1.4503,2903499.8
2026-02-08 20:00:00+00:00,1.4503,1.4503,1.4342,1.4372,2900133.4
2026-02-08 21:00:00+00:00,1.4372,1.441,1.4243,1.4274,3312715.4
2026-02-08 22:00:00+00:00,1.4274,1.4373,1.4249,1.4353,2726374.2
2026-02-08 23:00:00+00:00,1.4353,1.4631,1.4221,1.4308,11917571.1
2026-02-09 00:00:00+00:00,1.4308,1.4417,1.4247,1.4331,3392366.1
2026-02-09 01:00:00+00:00,1.433,1.4451,1.4191,1.424,6854725.7
2026-02-09 02:00:00+00:00,1.4241,1.4547,1.4204,1.4422,6552992.5
2026-02-09 03:00:00+00:00,1.4423,1.4543,1.4405,1.4522,4834107.5
2026-02-09 04:00:00+00:00,1.4521,1.4528,1.4438,1.448,3562289.2
2026-02-09 05:00:00+00:00,1.448,1.4553,1.4411,1.4511,2945918.3
2026-02-09 06:00:00+00:00,1.4511,1.4511,1.4279,1.4359,5174037.0
2026-02-09 07:00:00+00:00,1.4358,1.44,1.4214,1.4257,4601721.4
2026-02-09 08:00:00+00:00,1.4257,1.4299,1.4014,1.4073,10096735.0
2026-02-09 09:00:00+00:00,1.4073,1.4125,1.394,1.399,7628998.3
2026-02-09 10:00:00+00:00,1.399,1.4068,1.3728,1.3831,14817853.5
2026-02-09 11:00:00+00:00,1.3831,1.3973,1.3831,1.3934,7172910.5
2026-02-09 12:00:00+00:00,1.3935,1.4149,1.3932,1.4084,9135730.7
2026-02-09 13:00:00+00:00,1.4084,1.4124,1.3952,1.3957,4731632.8
2026-02-09 14:00:00+00:00,1.3957,1.4382,1.3952,1.4309,11488908.2
2026-02-09 15:00:00+00:00,1.4308,1.4499,1.4205,1.4462,13804945.4
2026-02-09 16:00:00+00:00,1.4461,1.4642,1.4362,1.4516,11619460.9
2026-02-09 17:00:00+00:00,1.4515,1.4568,1.4336,1.4505,9734716.5
2026-02-09 18:00:00+00:00,1.4506,1.4594,1.437,1.4437,7534380.9
2026-02-09 19:00:00+00:00,1.4436,1.4556,1.4415,1.4528,6183354.4
2026-02-09 20:00:00+00:00,1.4527,1.4579,1.4437,1.4543,5800866.6
2026-02-09 21:00:00+00:00,1.4543,1.4587,1.4388,1.451,5706147.2
2026-02-09 22:00:00+00:00,1.451,1.4524,1.4432,1.4444,2103705.9
2026-02-09 23:00:00+00:00,1.4444,1.4489,1.4351,1.437,3067777.3
2026-02-10 00:00:00+00:00,1.437,1.442,1.434,1.4372,3029079.5
2026-02-10 01:00:00+00:00,1.4372,1.4532,1.4367,1.4482,3218007.5
2026-02-10 02:00:00+00:00,1.4482,1.4498,1.443,1.4472,2671927.6
2026-02-10 03:00:00+00:00,1.4473,1.451,1.4282,1.4354,5782490.3
2026-02-10 04:00:00+00:00,1.4354,1.452,1.4345,1.4473,5355757.5
2026-02-10 05:00:00+00:00,1.4472,1.4492,1.437,1.4419,4033236.2
2026-02-10 06:00:00+00:00,1.4419,1.4423,1.4142,1.4202,7695821.9
2026-02-10 07:00:00+00:00,1.4203,1.4285,1.4199,1.4221,3527715.0
2026-02-10 08:00:00+00:00,1.4222,1.4329,1.4146,1.4295,3909658.9
2026-02-10 09:00:00+00:00,1.4294,1.436,1.417,1.4211,3996870.9
2026-02-10 10:00:00+00:00,1.4212,1.4237,1.415,1.416,3175924.8
2026-02-10 11:00:00+00:00,1.416,1.4196,1.4065,1.4081,6278126.8
2026-02-10 12:00:00+00:00,1.4081,1.4139,1.4055,1.409,3590260.4
2026-02-10 13:00:00+00:00,1.4089,1.4176,1.4031,1.4151,5757125.8
2026-02-10 14:00:00+00:00,1.4151,1.4259,1.3931,1.4027,14389106.3
2026-02-10 15:00:00+00:00,1.4027,1.4139,1.3976,1.407,6418292.4
2026-02-10 16:00:00+00:00,1.407,1.4204,1.3998,1.4163,6053577.3
2026-02-10 17:00:00+00:00,1.4162,1.4291,1.4138,1.4247,5918906.2
2026-02-10 18:00:00+00:00,1.4247,1.4261,1.3942,1.4022,5523429.9
2026-02-10 19:00:00+00:00,1.4022,1.4094,1.3972,1.401,2742502.5
2026-02-10 20:00:00+00:00,1.4009,1.4028,1.3916,1.3966,4382331.2
2026-02-10 21:00:00+00:00,1.3965,1.4023,1.3917,1.3941,2292402.2
2026-02-10 22:00:00+00:00,1.3942,1.4049,1.3935,1.4,1988603.9
2026-02-10 23:00:00+00:00,1.3999,1.4018,1.3954,1.3999,1668218.7
2026-02-11 00:00:00+00:00,1.3998,1.4134,1.3992,1.4098,2824287.2
2026-02-11 01:00:00+00:00,1.4098,1.4147,1.4064,1.4105,2957112.8
2026-02-11 02:00:00+00:00,1.4106,1.4205,1.4094,1.4102,4021909.0
2026-02-11 03:00:00+00:00,1.4102,1.4116,1.3943,1.4041,4554165.9
2026-02-11 04:00:00+00:00,1.4041,1.4088,1.3801,1.3843,9884896.4
2026-02-11 05:00:00+00:00,1.3844,1.3924,1.3743,1.3756,6071916.5
2026-02-11 06:00:00+00:00,1.3757,1.3784,1.358,1.3601,13538833.2
2026-02-11 07:00:00+00:00,1.36,1.3731,1.3582,1.3667,5129836.8
2026-02-11 08:00:00+00:00,1.3667,1.3723,1.3609,1.3669,4085843.0
2026-02-11 09:00:00+00:00,1.367,1.3694,1.3566,1.3615,4258017.7
2026-02-11 10:00:00+00:00,1.3616,1.3646,1.3553,1.3614,5691106.3
2026-02-11 11:00:00+00:00,1.3613,1.3806,1.3605,1.3791,7316096.0
2026-02-11 12:00:00+00:00,1.379,1.3795,1.3708,1.3727,4755724.8
2026-02-11 13:00:00+00:00,1.3726,1.3814,1.3602,1.376,12427986.1
2026-02-11 14:00:00+00:00,1.376,1.4097,1.3582,1.362,23258209.2
2026-02-11 15:00:00+00:00,1.3619,1.37,1.3463,1.3541,15396690.9
2026-02-11 16:00:00+00:00,1.3541,1.3701,1.3443,1.3451,8682779.1
2026-02-11 17:00:00+00:00,1.345,1.38,1.3421,1.3701,9527924.0
2026-02-11 18:00:00+00:00,1.3701,1.3848,1.3619,1.3784,5260578.3
2026-02-11 19:00:00+00:00,1.3784,1.3871,1.3718,1.3788,4372008.2
2026-02-11 20:00:00+00:00,1.3788,1.3863,1.3749,1.3818,4751158.0
2026-02-11 21:00:00+00:00,1.3818,1.3973,1.3794,1.3833,5752849.9
2026-02-11 22:00:00+00:00,1.3834,1.3846,1.3698,1.3718,3703501.1
2026-02-11 23:00:00+00:00,1.3719,1.373,1.3596,1.3697,4472833.3
2026-02-12 00:00:00+00:00,1.3697,1.3849,1.3684,1.3773,4054755.6
2026-02-12 01:00:00+00:00,1.3774,1.3865,1.3774,1.3811,2447372.1
2026-02-12 02:00:00+00:00,1.3811,1.3853,1.3745,1.3769,3187911.5
2026-02-12 03:00:00+00:00,1.3769,1.3798,1.371,1.3752,3961691.5
2026-02-12 04:00:00+00:00,1.3752,1.3807,1.3723,1.3755,3461580.9
2026-02-12 05:00:00+00:00,1.3755,1.3818,1.3728,1.3803,3363813.3
2026-02-12 06:00:00+00:00,1.3802,1.3889,1.3782,1.3833,3847372.2
2026-02-12 07:00:00+00:00,1.3833,1.3862,1.3764,1.3819,3174071.8
2026-02-12 08:00:00+00:00,1.382,1.3846,1.3771,1.3821,2271655.4
2026-02-12 09:00:00+00:00,1.3821,1.3966,1.3803,1.396,5646273.5
2026-02-12 10:00:00+00:00,1.396,1.404,1.3891,1.4038,4350315.1
2026-02-12 11:00:00+00:00,1.4038,1.4082,1.3935,1.4015,7096263.3
2026-02-12 12:00:00+00:00,1.4016,1.403,1.3898,1.3927,3326450.9
2026-02-12 13:00:00+00:00,1.3926,1.4027,1.3854,1.4017,4261194.7
2026-02-12 14:00:00+00:00,1.4016,1.4026,1.3844,1.389,5134772.6
2026-02-12 15:00:00+00:00,1.3891,1.3967,1.375,1.3759,7701146.6
2026-02-12 16:00:00+00:00,1.3758,1.3781,1.3463,1.3531,18489641.4
2026-02-12 17:00:00+00:00,1.3531,1.3797,1.3461,1.3625,8080587.6
2026-02-12 18:00:00+00:00,1.3625,1.3677,1.3521,1.3633,3868937.8
2026-02-12 19:00:00+00:00,1.3633,1.3764,1.355,1.3647,3122409.2
2026-02-12 20:00:00+00:00,1.3647,1.3667,1.3506,1.3521,3422961.7
2026-02-12 21:00:00+00:00,1.3521,1.3582,1.3488,1.352,7086652.1
